title,status,type,tenure,land_title,price,built_up_size,bedroom,bathroom,car_park,category,city,state
Sierra Square,Open for Sale,Shop Office,Freehold,Commercial,954615.0,4658,0,0,0,Shop or Office,Masai,Johor
Single-Storey Medium Cost Shop @ Meridin East,Completed Project,Shop,Freehold,Commercial,150000.0,1200,0,0,0,Shop or Office,Pasir Gudang,Johor
Sovo @ D'Sara Sentral,New Launch,Sovo,Leasehold,Commercial,873000.0,960,0,0,0,Shop or Office,Shah Alam,Selangor
Casa Rica,New Launch,Semi-detached House,Freehold,Residential,2200000.0,3512,5,4,3,House,Bayan Lepas,Penang
Casa Rica,New Launch,Semi-detached House,Freehold,Residential,1900000.0,3046,4,5,3,House,Bayan Lepas,Penang
Setia Sky 88 - The Altus (Final Tower),Completed Project,Apartment,Freehold,Residential,929156.0,1140,3,3,2,House,Johor Bahru,Johor
Setia Sky 88 - The Altus (Final Tower),Completed Project,Apartment,Freehold,Residential,943020.0,1259,3,3,2,House,Johor Bahru,Johor
Setia Sky 88 - The Altus (Final Tower),Completed Project,Apartment,Freehold,Residential,1260220.0,1636,4,4,3,House,Johor Bahru,Johor
The Vesta,New Launch,Serviced Residence,Leasehold,Commercial,411000.0,715,2,2,0,House,KL City,Kuala Lumpur
The Vesta,New Launch,Serviced Residence,Leasehold,Commercial,839000.0,1125,4,3,0,House,KL City,Kuala Lumpur
Setia V Residences,Completed Project,Condominium,Freehold,Residential,4061995.0,4118,4,5,4,House,Georgetown,Penang
Hanami Residences,New Launch,Semi-detached House,Freehold,Residential,1226000.0,2381,4,4,0,House,Semenyih,Selangor
Hanami Residences,New Launch,Semi-detached House,Freehold,Residential,1258000.0,2465,4,4,2,House,Semenyih,Selangor
Hanami Residences,New Launch,Semi-detached House,Freehold,Residential,1255000.0,2499,4,5,2,House,Semenyih,Selangor
Amansara North,New Launch,1-sty Terrace/Link House,Freehold,Residential,475000.0,1385,3,2,2,House,Kepala Batas,Penang
Amansara North,New Launch,1-sty Terrace/Link House,Freehold,Residential,589000.0,2119,4,3,3,House,Kepala Batas,Penang
Amansara North,New Launch,1-sty Terrace/Link House,Freehold,Residential,707750.0,2727,4,5,4,House,Kepala Batas,Penang
Mori Pines,Open for Registration,2-sty Terrace/Link House,Leasehold,Residential,849800.0,1778,3,3,2,House,Kuala Langat,Selangor
Mori Pines,Open for Registration,2-sty Terrace/Link House,Leasehold,Residential,903800.0,1857,3,3,2,House,Kuala Langat,Selangor
Mori Pines,Open for Registration,2-sty Terrace/Link House,Leasehold,Residential,1280800.0,2305,4,4,3,House,Kuala Langat,Selangor
Glomac Centro Serviced Apartment,Open for Sale,Serviced Residence,Leasehold,Residential,909865.0,1670,0,0,3,House,Kayu Ara,Selangor
Glomac Centro Serviced Apartment,Open for Sale,Serviced Residence,Leasehold,Residential,733015.0,1279,0,0,1,House,Kayu Ara,Selangor
Glomac Centro Serviced Apartment,Open for Sale,Serviced Residence,Leasehold,Residential,774190.0,1279,0,0,2,House,Kayu Ara,Selangor
Riana Trees Residences @ Pantai Sentral Park,New Launch,Condominium,Leasehold,Residential,613000.0,900,3,2,2,House,KL City,Kuala Lumpur
Riana Trees Residences @ Pantai Sentral Park,New Launch,Condominium,Leasehold,Residential,625000.0,955,3,2,2,House,KL City,Kuala Lumpur
EMBER @ Eco Ardence,New Launch,Semi-detached House,Freehold,Residential,1896000.0,2344,5,4,3,House,Shah Alam,Selangor
EMBER @ Eco Ardence,New Launch,Semi-detached House,Freehold,Residential,2236000.0,2689,5,5,3,House,Shah Alam,Selangor
Vista Adesa Residensi Desa Timur,New Launch,Apartment,Leasehold,Commercial,300000.0,800,3,2,1,House,Sungai Besi,Kuala Lumpur
SWNK Houze @ BBCC,New Launch,Serviced Residence,Leasehold,Commercial,670000.0,463,1,1,0,House,Bukit Bintang,Kuala Lumpur
SWNK Houze @ BBCC,New Launch,Serviced Residence,Leasehold,Commercial,771000.0,549,1,1,0,House,Bukit Bintang,Kuala Lumpur
SWNK Houze @ BBCC,New Launch,Serviced Residence,Leasehold,Commercial,865000.0,657,1,1,0,House,Bukit Bintang,Kuala Lumpur
The Stride,New Launch,Office,Leasehold,Commercial,1655000.0,1087,0,0,0,Shop or Office,Bukit Bintang,Kuala Lumpur
ANYA AT SHOREA PARK,New Launch,Serviced Residence,Freehold,Residential,250000.0,560,1,1,1,House,Puchong,Selangor
