title,status,type,tenure,land_title,price,built_up_size,bedroom,bathroom,car_park,category,city,state
Ponderosa Vista 2-Storey Terrace,Open for Sale,2-sty Terrace/Link House,Freehold,Residential,1253000.0,2740,4,4,0,House,Johor Bahru,Johor
Ponderosa Vista 2-Storey Terrace,Open for Sale,2-sty Terrace/Link House,Freehold,Residential,1413945.0,2882,4,4,0,House,Johor Bahru,Johor
Allevia,Open for Sale,Condominium,Freehold,Residential,1543800.0,1703,3,3,2,House,Mont Kiara,Kuala Lumpur
Allevia,Open for Sale,Condominium,Freehold,Residential,1538800.0,1757,3,3,2,House,Mont Kiara,Kuala Lumpur
Allevia,Open for Sale,Condominium,Freehold,Residential,1742800.0,1971,3,4,3,House,Mont Kiara,Kuala Lumpur
EdgeWood Residences @ SkySanctuary,New Launch,Condominium,Leasehold,Residential,447000.0,865,3,2,2,House,Setapak,Kuala Lumpur
EdgeWood Residences @ SkySanctuary,New Launch,Condominium,Leasehold,Residential,522000.0,1047,3,2,2,House,Setapak,Kuala Lumpur
EdgeWood Residences @ SkySanctuary,New Launch,Condominium,Leasehold,Residential,606000.0,1225,4,2,3,House,Setapak,Kuala Lumpur
Forest Avenue,Open for Sale,Shop Office,Freehold,Commercial,120000.0,1765,0,0,0,Shop or Office,Seremban,Negeri Sembilan
Forest Avenue,Open for Sale,Shop Office,Freehold,Commercial,337000.0,5564,0,0,0,Shop or Office,Seremban,Negeri Sembilan
Forest Avenue,Open for Sale,Shop Office,Freehold,Commercial,195000.0,1765,0,0,0,Shop or Office,Seremban,Negeri Sembilan
D'Zone Condominium,New Launch,Condominium,Freehold,Residential,715800.0,1500,4,3,3,House,Bayan Lepas,Penang
D'Zone Condominium,New Launch,Condominium,Freehold,Residential,706800.0,1590,4,3,3,House,Bayan Lepas,Penang
D'Zone Condominium,New Launch,Condominium,Freehold,Residential,1301800.0,2840,5,4,4,House,Bayan Lepas,Penang
Setia Versa,Open for Sale,Detached factory,Freehold,Industrial,7700000.0,20013,0,0,0,Factory,Gelang Patah,Johor
Setia Versa,Open for Sale,Detached factory,Freehold,Industrial,8650000.0,20013,0,0,0,Factory,Gelang Patah,Johor
Quaver Residence,New Launch,Serviced Residence,Leasehold,Commercial,620000.0,1110,3,2,2,House,Seri Kembangan,Selangor
Quaver Residence,New Launch,Serviced Residence,Leasehold,Commercial,575000.0,1023,3,2,2,House,Seri Kembangan,Selangor
Quaver Residence,New Launch,Serviced Residence,Leasehold,Commercial,851000.0,1647,3,2,2,House,Seri Kembangan,Selangor
Tuai Timur,New Launch,Condominium,Freehold,Residential,498300.0,1109,3,2,0,House,Shah Alam,Selangor
Tuai Timur,New Launch,Condominium,Freehold,Residential,544800.0,1216,3,2,0,House,Shah Alam,Selangor
Tuai Timur,New Launch,Condominium,Freehold,Residential,563400.0,1292,3,2,0,House,Shah Alam,Selangor
